# Data generated by PP.
param :seasoal_fb_bkp,seasoal_storage_bkp :=
ARD	1	419.984	              0	
ARD	2	420.31921386719	    1223.287773	
ARD	3	420.62399291992	    2387.110168	
ARD	4	420.92880249023	    3570.754355	
ARD	5	421.23361206055	    4768.556966	
ARD	6	421.53839111328	       5980.518	
ARD	7	421.84320068359	    7209.469142	
ARD	8	422.14801025391	    8452.578708	
ARD	9	422.45278930664	    9701.351642	
ARD	10	422.75759887695	      10964.283	
ARD	11	423.06240844727	   12241.372782	
ARD	12	423.3671875	   13532.620986	
ARD	13	423.67199707031	   14843.690984	
ARD	14	423.97680664063	   16183.077827	
ARD	15	424.28158569336	   17536.623094	
ARD	16	424.58639526367	     18901.4951	
ARD	17	424.89120483398	   20280.525529	
ARD	18	425.1960144043	   21668.051012	
ARD	19	425.50079345703	   23052.744811	
ARD	20	425.80560302734	   24443.101978	
ARD	21	426.11041259766	   25844.785885	
ARD	22	426.41519165039	   27254.964845	
ARD	23	426.7200012207	   28679.302228	
ARD	24	427.02481079102	   30126.293089	
ARD	25	427.32958984375	   31584.610689	
ARD	26	427.63439941406	   33054.255027	
ARD	27	427.93920898438	   34532.394419	
ARD	28	428.24398803711	    36021.86055	
ARD	29	428.54879760742	    37511.32668	
ARD	30	428.85360717773	    39012.11955	
ARD	31	429.15838623047	   40518.575789	
ARD	32	429.46319580078	   42036.358766	
ARD	33	429.76800537109	   43562.636797	
ARD	34	430.07281494141	   45100.241567	
ARD	35	430.37759399414	   46649.173076	
ARD	36	430.68240356445	   48206.599638	
ARD	37	430.98721313477	   49775.352939	
ARD	38	431.2919921875	   51352.601295	
ARD	39	431.59680175781	   52941.176388	
ARD	40	431.90161132813	   54541.078221	
ARD	41	432.20639038086	   56149.475107	
ARD	42	432.51119995117	   57769.198732	
ARD	43	432.81600952148	   59400.249096	
ARD	44	433.12078857422	   61042.626198	
ARD	45	433.42559814453	   62696.330039	
ARD	46	433.73040771484	   64358.528934	
ARD	47	434.03518676758	   66032.054568	
ARD	48	434.33999633789	   67711.243571	
ARD	49	434.6448059082	   69398.927628	
ARD	50	434.94958496094	   71095.106739	
ARD	51	435.25439453125	   72799.780903	
ARD	52	435.55920410156	   74515.781807	
ARD	53	435.86401367188	    76237.44608	
ARD	54	436.16879272461	   77970.437091	
ARD	55	436.47360229492	   79714.754841	
ARD	56	436.77841186523	   81467.567645	
ARD	57	437.08319091797	   83228.875503	
ARD	58	437.38800048828	   84998.678415	
ARD	59	437.69281005859	   86779.808066	
ARD	60	437.99758911133	   88569.432771	
ARD	61	438.30239868164	   90370.384214	
ARD	62	438.60720825195	   92176.999026	
ARD	63	438.91198730469	   93997.772262	
ARD	64	439.216796875	   95824.208867	
ARD	65	439.52160644531	   97661.972211	
ARD	66	439.82638549805	   99508.230609	
ARD	67	459.82638549805	  221211.213009	
GMS	1	640.07843017578	              0	
GMS	2	640.90002441406	       8584.888	
GMS	3	641.90002441406	       19255.93	
GMS	4	642.90002441406	       30152.19	
GMS	5	643.90002441406	       41279.49	
GMS	6	644.90002441406	       52643.72	
GMS	7	645.90002441406	       64250.86	
GMS	8	646.90002441406	       76103.32	
GMS	9	647.90002441406	       88214.51	
GMS	10	648.90002441406	       100587.1	
GMS	11	649.90002441406	       113227.5	
GMS	12	650.90002441406	       126142.3	
GMS	13	651.90002441406	       139337.9	
GMS	14	652.90002441406	       152817.1	
GMS	15	653.90002441406	         166595	
GMS	16	654.90002441406	       180674.5	
GMS	17	655.90002441406	       195062.7	
GMS	18	656.90002441406	       209767.2	
GMS	19	657.90002441406	       224795.2	
GMS	20	658.90002441406	       240149.9	
GMS	21	659.90002441406	       255848.3	
GMS	22	660.90002441406	       271893.9	
GMS	23	661.90002441406	       288294.9	
GMS	24	662.90002441406	       305059.7	
GMS	25	663.90002441406	       322196.8	
GMS	26	664.90002441406	       339715.1	
GMS	27	665.90002441406	       357618.1	
GMS	28	666.90002441406	         375926	
GMS	29	667.90002441406	       394642.7	
GMS	30	668.90002441406	         413778	
GMS	31	669.90002441406	       433341.7	
GMS	32	670.90002441406	       453344.2	
GMS	33	671.90002441406	       473789.4	
GMS	34	691.90002441406	         900165	
MCA	1	659.31188964844	              0	
MCA	2	707.13598632813	  114629.426689	
MCA	3	707.44079589844	  115362.833016	
MCA	4	707.74560546875	  116070.754181	
MCA	5	708.05041503906	  116832.477354	
MCA	6	708.35522460938	   117571.54705	
MCA	7	708.65997314453	  118313.448431	
MCA	8	708.96478271484	  119058.181496	
MCA	9	709.26959228516	  119802.914561	
MCA	10	709.57440185547	  120550.479311	
MCA	11	709.87921142578	  121300.875746	
MCA	12	710.18402099609	  122051.272181	
MCA	13	710.48876953125	  122807.331985	
MCA	14	710.79357910156	  123563.391789	
MCA	15	711.09838867188	  124322.283278	
MCA	16	711.40319824219	  125084.006451	
MCA	17	711.7080078125	  125845.729624	
MCA	18	712.01281738281	  126610.284482	
MCA	19	712.31762695313	  127377.671025	
MCA	20	712.62237548828	  128147.889252	
MCA	21	712.92718505859	  128918.107479	
MCA	22	713.23199462891	  129691.157391	
MCA	23	713.53680419922	  130467.038988	
MCA	24	713.84161376953	  131248.583954	
MCA	25	714.14642333984	  132032.960605	
MCA	26	714.451171875	   132820.16894	
MCA	27	714.75598144531	   133610.20896	
MCA	28	715.06079101563	  134405.912349	
MCA	29	715.36560058594	  135204.447423	
MCA	30	715.67041015625	  136008.645866	
MCA	31	715.97521972656	  136815.675994	
MCA	32	716.28002929688	  137628.369491	
MCA	33	716.58477783203	  138443.894673	
