DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
3.299,2.396,1.787,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627,2.566,2.339,2.062,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113,3.028,3.309,2.853,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747,3.45,2.136,2.121,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301,4.233,3.196,2.383,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944
2.566,2.339,2.062,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113,3.028,3.309,2.871,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747,3.45,2.136,2.131,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301,4.233,3.196,2.383,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944,10.418,3.686,2.315,3.062,9.852,45.785,78.841,17.932,5.967,3.39,3.915,3.568
3.028,3.309,2.871,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747,3.45,2.136,2.121,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301,4.233,3.196,2.376,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944,10.418,3.686,2.315,3.062,9.852,45.785,78.841,17.932,5.967,3.39,3.915,3.568,3.025,2.096,2.086,2.238,14.759,51.91,44.901,17.278,7.514,7.194,12.157,4.384
3.45,2.136,2.121,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301,4.233,3.196,2.383,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944,10.418,3.686,2.325,3.062,9.852,45.785,78.841,17.932,5.967,3.39,3.915,3.568,3.025,2.096,2.086,2.238,14.759,51.91,44.901,17.278,7.514,7.194,12.157,4.384,3.57,3.149,2.749,7.96,21.451,30.497,36.412,9.266,4.28,11.373,17.317,5.111
4.233,3.196,2.383,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944,10.418,3.686,2.315,3.062,9.852,45.785,78.841,17.932,5.967,3.39,3.915,3.568,3.025,2.096,2.085,2.238,14.759,51.91,44.901,17.278,7.514,7.194,12.157,4.384,3.57,3.149,2.749,7.96,21.451,30.497,36.412,9.266,4.28,11.373,17.317,5.111,2.034,1.471,1.543,1.672,5.07,32.198,13.947,17.37,9.994,4.83,5.455,7.011
10.418,3.686,2.315,3.062,9.852,45.785,78.841,17.932,5.967,3.39,3.915,3.568,3.025,2.096,2.086,2.238,14.759,51.91,44.901,17.278,7.514,7.194,12.157,4.384,3.57,3.149,2.762,7.96,21.451,30.497,36.412,9.266,4.28,11.373,17.317,5.111,2.034,1.471,1.543,1.672,5.07,32.198,13.947,17.37,9.994,4.83,5.455,7.011,3.279,1.974,1.612,2.827,18.767,47.383,41.558,18.427,6.597,6.107,7.328,5.147
3.025,2.096,2.086,2.238,14.759,51.91,44.901,17.278,7.514,7.194,12.157,4.384,3.57,3.149,2.749,7.96,21.451,30.497,36.412,9.266,4.28,11.373,17.317,5.111,2.034,1.471,1.546,1.672,5.07,32.198,13.947,17.37,9.994,4.83,5.455,7.011,3.279,1.974,1.612,2.827,18.767,47.383,41.558,18.427,6.597,6.107,7.328,5.147,3.121,2.5,2.416,2.993,7.331,47.174,31.561,17.4,9.748,4.544,6.292,3.516
3.57,3.149,2.749,7.96,21.451,30.497,36.412,9.266,4.28,11.373,17.317,5.111,2.034,1.471,1.543,1.672,5.07,32.198,13.947,17.37,9.994,4.83,5.455,7.011,3.279,1.974,1.608,2.827,18.767,47.383,41.558,18.427,6.597,6.107,7.328,5.147,3.121,2.5,2.416,2.993,7.331,47.174,31.561,17.4,9.748,4.544,6.292,3.516,2.909,2.207,1.943,1.973,11.885,28.268,53.497,31.081,13.23,12.056,13.402,4.424
2.034,1.471,1.543,1.672,5.07,32.198,13.947,17.37,9.994,4.83,5.455,7.011,3.279,1.974,1.612,2.827,18.767,47.383,41.558,18.427,6.597,6.107,7.328,5.147,3.121,2.5,2.421,2.993,7.331,47.174,31.561,17.4,9.748,4.544,6.292,3.516,2.909,2.207,1.943,1.973,11.885,28.268,53.497,31.081,13.23,12.056,13.402,4.424,2.896,2.33,2.468,2.857,11.368,57.456,69.943,28.288,11.644,8.011,22.935,10.523
3.279,1.974,1.612,2.827,18.767,47.383,41.558,18.427,6.597,6.107,7.328,5.147,3.121,2.5,2.416,2.993,7.331,47.174,31.561,17.4,9.748,4.544,6.292,3.516,2.909,2.207,1.939,1.973,11.885,28.268,53.497,31.081,13.23,12.056,13.402,4.424,2.896,2.33,2.468,2.857,11.368,57.456,69.943,28.288,11.644,8.011,22.935,10.523,3.444,1.381,1.274,1.308,2.536,66.318,16.37,5.689,2.407,1.63,4.664,3.245
3.121,2.5,2.416,2.993,7.331,47.174,31.561,17.4,9.748,4.544,6.292,3.516,2.909,2.207,1.943,1.973,11.885,28.268,53.497,31.081,13.23,12.056,13.402,4.424,2.896,2.33,2.467,2.857,11.368,57.456,69.943,28.288,11.644,8.011,22.935,10.523,3.444,1.381,1.274,1.308,2.536,66.318,16.37,5.689,2.407,1.63,4.664,3.245,1.67,1.154,1.083,1.026,5.133,28.43,71.927,17.347,6.159,2.242,2.558,2.321
2.909,2.207,1.943,1.973,11.885,28.268,53.497,31.081,13.23,12.056,13.402,4.424,2.896,2.33,2.468,2.857,11.368,57.456,69.943,28.288,11.644,8.011,22.935,10.523,3.444,1.381,1.274,1.308,2.536,66.318,16.37,5.689,2.407,1.63,4.664,3.245,1.67,1.154,1.083,1.026,5.133,28.43,71.927,17.347,6.159,2.242,2.558,2.321,1.606,1.226,1.109,0.855,0.952,8.523,51.945,21.44,6.537,16.825,8.426,7.305
2.896,2.33,2.468,2.857,11.368,57.456,69.943,28.288,11.644,8.011,22.935,10.523,3.444,1.381,1.274,1.308,2.536,66.318,16.37,5.689,2.407,1.63,4.664,3.245,1.67,1.154,1.082,1.026,5.133,28.43,71.927,17.347,6.159,2.242,2.558,2.321,1.606,1.226,1.109,0.855,0.952,8.523,51.945,21.44,6.537,16.825,8.426,7.305,2.387,1.501,1.021,0.921,1.546,21.35,62.453,30.133,7.145,5.145,3.33,2.619
