DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
401.206,347.484,254.661,269.429,576.237,1699.297,4190.407,2437.132,1225.745,1196.957,1249.703,477.833,341.184,447.813,283.193,256.81,379.507,2236.681,3269,2193.742,745.897,857.5,685.942,375.503,272.916,271.977,208.693,234.184,407.463,1674.116,4083.673,2374.374,779.506,496.167,809.648,545.48,364.387,294.158,267.2,285.003,567.533,2791.545,4332.823,2193.723,1070.652,962.59,819.481,698.567,423.177,317.797,310.393,307.897,779.287,3629.939,3709.813,1998.532,1106.781,585.7,683.503,542.577
396.334,447.813,283.193,256.81,379.507,2236.681,3269,2193.742,745.897,857.5,685.942,375.503,272.916,271.977,209.236,234.184,407.463,1674.116,4083.673,2374.374,779.506,496.167,809.648,545.48,364.387,294.158,266.459,285.003,567.533,2791.545,4332.823,2193.723,1070.652,962.59,819.481,698.567,423.177,317.797,310.393,307.897,779.287,3629.939,3709.813,1998.532,1106.781,585.7,683.503,542.577,374.626,307.735,245.136,260.618,622.011,2878.113,2832.15,1331.061,875.519,568.063,675.061,615.099
394.084,271.977,209.236,234.184,407.463,1674.116,4083.673,2374.374,779.506,496.167,809.648,545.48,364.387,294.158,267.2,285.003,567.533,2791.545,4332.823,2193.723,1070.652,962.59,819.481,698.567,423.177,317.797,310.328,307.897,779.287,3629.939,3709.813,1998.532,1106.781,585.7,683.503,542.577,374.626,307.735,245.136,260.618,622.011,2878.113,2832.15,1331.061,875.519,568.063,675.061,615.099,478.739,404.948,285.021,292.194,679.7,3138.616,5061.94,1557.523,582.219,427.02,394.065,345.743
386.411,294.158,267.2,285.003,567.533,2791.545,4332.823,2193.723,1070.652,962.59,819.481,698.567,423.177,317.797,310.393,307.897,779.287,3629.939,3709.813,1998.532,1106.781,585.7,683.503,542.577,374.626,307.735,247.047,260.618,622.011,2878.113,2832.15,1331.061,875.519,568.063,675.061,615.099,478.739,404.948,285.021,292.194,679.7,3138.616,5061.94,1557.523,582.219,427.02,394.065,345.743,315.377,254.026,302.757,247.274,767.297,3169.79,2952.96,1482.671,728.042,958.57,1121.123,776.797
374.502,317.797,310.393,307.897,779.287,3629.939,3709.813,1998.532,1106.781,585.7,683.503,542.577,374.626,307.735,245.136,260.618,622.011,2878.113,2832.15,1331.061,875.519,568.063,675.061,615.099,478.739,404.948,284.734,292.194,679.7,3138.616,5061.94,1557.523,582.219,427.02,394.065,345.743,315.377,254.026,302.757,247.274,767.297,3169.79,2952.96,1482.671,728.042,958.57,1121.123,776.797,469.239,428.374,297.254,482.774,1391.293,2605.194,4841.2,1425.835,497.168,906.453,1361.226,662.817
381.59,307.735,245.136,260.618,622.011,2878.113,2832.15,1331.061,875.519,568.063,675.061,615.099,478.739,404.948,285.021,292.194,679.7,3138.616,5061.94,1557.523,582.219,427.02,394.065,345.743,315.377,254.026,301.776,247.274,767.297,3169.79,2952.96,1482.671,728.042,958.57,1121.123,776.797,469.239,428.374,297.254,482.774,1391.293,2605.194,4841.2,1425.835,497.168,906.453,1361.226,662.817,370.277,288.409,270.244,248.037,710.248,3517.698,2396.135,1531.708,1106.981,614.489,510.5,516.621
480.45,404.948,285.021,292.194,679.7,3138.616,5061.94,1557.523,582.219,427.02,394.065,345.743,315.377,254.026,302.757,247.274,767.297,3169.79,2952.96,1482.671,728.042,958.57,1121.123,776.797,469.239,428.374,298.021,482.774,1391.293,2605.194,4841.2,1425.835,497.168,906.453,1361.226,662.817,370.277,288.409,270.244,248.037,710.248,3517.698,2396.135,1531.708,1106.981,614.489,510.5,516.621,353.689,341.732,305.005,351.965,945.786,3092.502,3116.812,1792.476,871.924,1091.904,847.592,524.901
411.518,254.026,302.757,247.274,767.297,3169.79,2952.96,1482.671,728.042,958.57,1121.123,776.797,469.239,428.374,297.254,482.774,1391.293,2605.194,4841.2,1425.835,497.168,906.453,1361.226,662.817,370.277,288.409,268.872,248.037,710.248,3517.698,2396.135,1531.708,1106.981,614.489,510.5,516.621,353.689,341.732,305.005,351.965,945.786,3092.502,3116.812,1792.476,871.924,1091.904,847.592,524.901,356.596,303.425,280.453,282.879,709.633,2979.172,2431.371,1770.224,1040.074,659.213,649.065,419.363
413.276,428.374,297.254,482.774,1391.293,2605.194,4841.2,1425.835,497.168,906.453,1361.226,662.817,370.277,288.409,270.244,248.037,710.248,3517.698,2396.135,1531.708,1106.981,614.489,510.5,516.621,353.689,341.732,304.409,351.965,945.786,3092.502,3116.812,1792.476,871.924,1091.904,847.592,524.901,356.596,303.425,280.453,282.879,709.633,2979.172,2431.371,1770.224,1040.074,659.213,649.065,419.363,355.993,342.925,307.772,342.405,958.851,2093.814,5058.437,3516.967,1444.714,1098.013,1065.335,552.096
373.786,288.409,270.244,248.037,710.248,3517.698,2396.135,1531.708,1106.981,614.489,510.5,516.621,353.689,341.732,305.005,351.965,945.786,3092.502,3116.812,1792.476,871.924,1091.904,847.592,524.901,356.596,303.425,280.396,282.879,709.633,2979.172,2431.371,1770.224,1040.074,659.213,649.065,419.363,355.993,342.925,307.772,342.405,958.851,2093.814,5058.437,3516.967,1444.714,1098.013,1065.335,552.096,407.783,345.441,325.462,320.059,761.862,3624.209,4744.686,2029.407,1163.616,947.915,1137.86,730.883
