year,inflow
1929-02-01,93.473732
1929-02-02,93.473732
1929-02-03,93.473732
1929-02-04,93.473732
1929-02-05,93.473732
1929-02-06,93.473732
1929-02-07,93.473732
1929-02-08,93.473732
1929-02-09,93.473732
1929-02-10,92.5476074
1929-02-11,92.084549
1929-02-12,90.6953583
1929-02-13,89.3061752
1929-02-14,88.3800507
1929-02-15,88.3800507
1929-02-16,88.3800507
1929-02-17,88.3800507
1929-02-18,88.3800507
1929-02-19,88.3800507
1929-02-20,88.3800507
1929-02-21,88.3800507
1929-02-22,88.3800507
1929-02-23,88.3800507
1929-02-24,88.3800507
1929-02-25,88.3800507
1929-02-26,88.3800507
1929-02-27,88.3800507
1929-02-28,88.3800507
1929-03-01,87.92733
1929-03-02,87.92733
1929-03-03,87.92733
1929-03-04,87.92733
1929-03-05,87.92733
1929-03-06,87.92733
1929-03-07,87.92733
1929-03-08,87.92733
1929-03-09,87.92733
1929-03-10,87.92733
1929-03-11,87.92733
1929-03-12,87.92733
1929-03-13,87.92733
1929-03-14,87.92733
1929-03-15,88.8158569
1929-03-16,89.7043839
1929-03-17,90.5929108
1929-03-18,90.1486511
1929-03-19,90.1486511
1929-03-20,90.1486511
1929-03-21,90.1486511
1929-03-22,90.1486511
1929-03-23,90.1486511
1929-03-24,90.1486511
1929-03-25,90.1486511
1929-03-26,90.1486511
1929-03-27,90.1486511
1929-03-28,88.8158569
1929-03-29,88.8158569
1929-03-30,88.8158569
1929-03-31,88.3715973
1929-04-01,80.1437683
1929-04-02,78.1965332
1929-04-03,76.8983765
1929-04-04,76.2492981
1929-04-05,75.6002197
1929-04-06,72.3548279
1929-04-07,56.9067459
1929-04-08,59.6328773
1929-04-09,59.6328773
1929-04-10,54.1806145
1929-04-11,48.6634445
1929-04-12,43.1462746
1929-04-13,45.872406
1929-04-14,51.389576
1929-04-15,48.6634445
1929-04-16,54.1806145
1929-04-17,54.1806145
1929-04-18,54.1806145
1929-04-19,54.1806145
1929-04-20,59.6328773
1929-04-21,63.3326263
1929-04-22,69.7585068
1929-04-23,87.283638
1929-04-24,98.3179779
1929-04-25,102.2124557
1929-04-26,127.5265274
1929-04-27,160.6295471
1929-04-28,182.6982422
1929-04-29,208.6613922
1929-04-30,208.6613922
1929-05-01,149.8684082
1929-05-02,173.7873688
1929-05-03,205.444809
1929-05-04,209.665802
1929-05-05,199.8168182
1929-05-06,205.444809
1929-05-07,201.2238159
1929-05-08,189.264328
1929-05-09,185.7468414
1929-05-10,243.4337311
1929-05-11,199.8168182
1929-05-12,231.4742584
1929-05-13,296.8996277
1929-05-14,344.7375183
1929-05-15,329.2605591
1929-05-16,360.9179993
1929-05-17,360.9179993
1929-05-18,351.0690308
1929-05-19,366.54599
1929-05-20,456.593811
1929-05-21,574.078064
1929-05-22,738.6967773
1929-05-23,984.9212646
1929-05-24,1294.460693
1929-05-25,1146.725952
1929-05-26,1160.795898
1929-05-27,893.4664307
1929-05-28,738.6967773
1929-05-29,654.2769165
1929-05-30,984.9212646
1929-05-31,1160.795898
1929-06-01,1218.237183
1929-06-02,1699.525269
1929-06-03,1969.338257
1929-06-04,1998.507202
1929-06-05,2078.721924
1929-06-06,2078.721924
1929-06-07,2180.813232
1929-06-08,2224.56665
1929-06-09,2326.658203
1929-06-10,2290.197022
1929-06-11,2224.56665
1929-06-12,2166.22876
1929-06-13,2166.22876
1929-06-14,2122.475342
1929-06-15,1969.338257
1929-06-16,1925.584717
1929-06-17,1765.155396
1929-06-18,1590.141602
1929-06-19,1356.789795
1929-06-20,1196.360474
1929-06-21,1014.054382
1929-06-22,926.5474854
1929-06-23,824.4560547
1929-06-24,817.1638184
1929-06-25,897.378479
1929-06-26,1072.392334
1929-06-27,1145.314697
1929-06-28,1167.191528
1929-06-29,1298.451904
1929-06-30,1240.113892
1929-07-01,1256.895142
1929-07-02,1298.155151
1929-07-03,1421.935303
1929-07-04,1394.428589
1929-07-05,1421.935303
1929-07-06,1126.238281
1929-07-07,1105.608276
1929-07-08,1139.991577
1929-07-09,1201.881714
1929-07-10,1236.265015
1929-07-11,1256.895142
1929-07-12,1298.155151
1929-07-13,1256.895142
1929-07-14,1277.525147
1929-07-15,1332.538452
1929-07-16,1373.798584
1929-07-17,1298.155151
1929-07-18,1325.661865
1929-07-19,1421.935303
1929-07-20,1580.098755
1929-07-21,1366.921875
1929-07-22,1318.785156
1929-07-23,1325.661865
1929-07-24,1071.224854
1929-07-25,1036.841553
1929-07-26,1236.265015
1929-07-27,1201.881714
1929-07-28,1043.71814
1929-07-29,1078.101563
1929-07-30,1250.018433
1929-07-31,1353.168579
1929-08-01,1348.685913
1929-08-02,1286.845337
1929-08-03,1249.740967
1929-08-04,1311.581543
1929-08-05,1249.740967
1929-08-06,1212.636597
1929-08-07,1206.452515
1929-08-08,1243.556885
1929-08-09,1286.845337
1929-08-10,1293.029419
1929-08-11,1299.213501
1929-08-12,1311.581543
1929-08-13,1317.765625
1929-08-14,1317.765625
1929-08-15,1249.740967
1929-08-16,1150.796021
1929-08-17,1045.666992
1929-08-18,1058.035156
1929-08-19,1126.059815
1929-08-20,1070.403198
1929-08-21,983.826416
1929-08-22,959.0901489
1929-08-23,903.4336548
1929-08-24,745.1217041
1929-08-25,783.4628906
1929-08-26,835.4089966
1929-08-27,841.5930176
1929-08-28,928.1698608
1929-08-29,996.194519
1929-08-30,996.194519
1929-08-31,1070.403198
1929-09-01,930.7419434
1929-09-02,901.5532227
1929-09-03,854.8511963
1929-09-04,889.8776855
1929-09-05,843.1757202
1929-09-06,854.8511963
1929-09-07,819.824707
1929-09-08,790.6359253
1929-09-09,767.2849121
1929-09-10,796.4736938
1929-09-11,726.4206543
1929-09-12,714.7451172
1929-09-13,707.1560669
1929-09-14,695.4805298
1929-09-15,687.3076782
1929-09-16,675.6322021
1929-09-17,670.3782349
1929-09-18,665.7080078
1929-09-19,707.1560669
1929-09-20,695.4805298
1929-09-21,687.3076782
1929-09-22,572.8877563
1929-09-23,493.4943237
1929-09-24,449.1274109
1929-09-25,355.1396179
1929-09-26,330.037262
1929-09-27,313.6915588
1929-09-28,295.5945435
1929-09-29,285.6703491
1929-09-30,285.6703491
1929-10-01,208.1268463
1929-10-02,204.2135773
1929-10-03,197.5051117
1929-10-04,238.8739929
1929-10-05,262.3536377
1929-10-06,278.5657654
1929-10-07,235.5197601
1929-10-08,238.8739929
1929-10-09,231.0474396
1929-10-10,221.5437775
1929-10-11,212.0401154
1929-10-12,204.2135773
1929-10-13,197.5051117
1929-10-14,204.2135773
1929-10-15,238.8739929
1929-10-16,262.3536377
1929-10-17,313.2261658
1929-10-18,305.3996277
1929-10-19,292.5417175
1929-10-20,279.6838379
1929-10-21,262.3536377
1929-10-22,246.700531
1929-10-23,240.5511017
1929-10-24,231.0474396
1929-10-25,222.6618652
1929-10-26,221.5437775
1929-10-27,216.5124359
1929-10-28,216.5124359
1929-10-29,204.2135773
1929-10-30,197.5051117
1929-10-31,194.7099152
1929-11-01,152.4101257
1929-11-02,154.2237854
1929-11-03,150.5964661
1929-11-04,142.1327209
1929-11-05,140.3190613
1929-11-06,133.6689606
1929-11-07,130.0416412
1929-11-08,126.4143219
1929-11-09,126.4143219
1929-11-10,130.0416412
1929-11-11,121.5778961
1929-11-12,121.5778961
1929-11-13,119.7642365
1929-11-14,116.1369095
1929-11-15,116.1369095
1929-11-16,113.1141434
1929-11-17,109.486824
1929-11-18,113.1141434
1929-11-19,101.0230713
1929-11-20,88.9319992
1929-11-21,88.9319992
1929-11-22,80.4682465
1929-11-23,80.4682465
1929-11-24,78.6545868
1929-11-25,82.8864594
1929-11-26,85.3046722
1929-11-27,92.5593185
1929-11-28,95.5820847
1929-11-29,102.836731
1929-11-30,105.8594971
1929-12-01,107.472023
1929-12-02,102.0844727
1929-12-03,94.7378082
1929-12-04,87.8809204
1929-12-05,79.7016373
1929-12-06,81.0730133
1929-12-07,79.7016373
1929-12-08,78.2812805
1929-12-09,65.8409348
1929-12-10,61.6778259
1929-12-11,57.5147171
1929-12-12,81.0730133
1929-12-13,90.8195877
1929-12-14,96.2071381
1929-12-15,115.7982407
1929-12-16,124.1244583
1929-12-17,102.0844727
1929-12-18,100.1253586
1929-12-19,117.7573471
1929-12-20,130.0017853
1929-12-21,130.0017853
1929-12-22,129.5120087
1929-12-23,133.4302368
1929-12-24,112.3697968
1929-12-25,116.2880173
1929-12-26,120.2062378
1929-12-27,112.8595734
1929-12-28,103.0640259
1929-12-29,104.0435791
1929-12-30,104.5333557
1929-12-31,100.6151352
1930-01-01,98.5526123
1930-01-02,87.8724976
1930-01-03,82.2781448
1930-01-04,79.73526
1930-01-05,76.7346573
1930-01-06,72.9711914
1930-01-07,70.8351669
1930-01-08,68.6991425
1930-01-09,66.9699783
1930-01-10,65.6476822
1930-01-11,65.2408142
1930-01-12,65.6476822
1930-01-13,66.1054001
1930-01-14,66.5122604
1930-01-15,66.9699783
1930-01-16,67.3768387
1930-01-17,68.2414246
1930-01-18,68.6991425
1930-01-19,69.5637207
1930-01-20,69.5637207
1930-01-21,69.9705811
1930-01-22,70.4283066
1930-01-23,70.8351669
1930-01-24,71.6997452
1930-01-25,72.1066055
1930-01-26,72.5643234
1930-01-27,72.9711914
1930-01-28,73.4289093
1930-01-29,73.8357697
1930-01-30,73.8357697
1930-01-31,75.0054932
1930-02-01,74.8123169
1930-02-02,75.8773651
1930-02-03,75.8773651
1930-02-04,76.386734
1930-02-05,76.8034897
1930-02-06,78.1926727
1930-02-07,78.6557388
1930-02-08,78.6557388
1930-02-09,78.6557388
1930-02-10,78.6557388
1930-02-11,78.1926727
1930-02-12,78.1926727
1930-02-13,78.1926727
1930-02-14,78.6557388
1930-02-15,78.6557388
1930-02-16,78.6557388
1930-02-17,78.6557388
1930-02-18,74.8123169
1930-02-19,71.0152054
1930-02-20,67.8663864
1930-02-21,69.8575516
1930-02-22,71.8024139
1930-02-23,78.1926727
1930-02-24,80.9710464
1930-02-25,81.897171
1930-02-26,80.0449219
1930-02-27,80.0449219
1930-02-28,80.0449219
1930-03-01,79.4863358
1930-03-02,79.4863358
1930-03-03,79.0420761
1930-03-04,79.4863358
1930-03-05,79.930603
1930-03-06,79.930603
1930-03-07,79.930603
1930-03-08,79.930603
1930-03-09,80.3748627
1930-03-10,81.2633896
1930-03-11,82.5961761
1930-03-12,86.1502838
1930-03-13,92.3699646
1930-03-14,96.8125916
1930-03-15,100.8109589
1930-03-16,104.8093185
1930-03-17,108.8076859
1930-03-18,109.6962128
1930-03-19,109.6962128
1930-03-20,112.3617859
1930-03-21,116.8044205
1930-03-22,123.0241013
1930-03-23,130.132309
1930-03-24,135.9077148
1930-03-25,143.0159302
1930-03-26,151.4569244
1930-03-27,158.1208649
1930-03-28,169.6716919
1930-03-29,178.1126862
1930-03-30,193.2176208
1930-03-31,198.5487823
1930-04-01,245.0098114
1930-04-02,245.0098114
1930-04-03,245.0098114
1930-04-04,245.0098114
1930-04-05,245.0098114
1930-04-06,248.9042816
1930-04-07,254.7459869
1930-04-08,254.7459869
1930-04-09,254.7459869
1930-04-10,254.7459869
1930-04-11,257.991394
1930-04-12,257.991394
1930-04-13,257.991394
1930-04-14,259.9386292
1930-04-15,282.0072937
1930-04-16,304.0759888
1930-04-17,319.0047913
1930-04-18,333.2845459
1930-04-19,339.1262512
1930-04-20,344.3188782
1930-04-21,390.4034729
1930-04-22,434.5408325
1930-04-23,500.7468872
1930-04-24,565.0056763
1930-04-25,605.2485962
1930-04-26,646.140564
1930-04-27,674.0509644
1930-04-28,700.0140991
1930-04-29,687.0325317
1930-04-30,667.5601807
1930-05-01,633.171936
1930-05-02,624.0264893
1930-05-03,633.171936
1930-05-04,633.171936
1930-05-05,600.1075439
1930-05-06,562.1185913
1930-05-07,543.8276367
1930-05-08,524.1296997
1930-05-09,498.1002197
1930-05-10,474.1812744
1930-05-11,468.5532837
1930-05-12,462.2218018
1930-05-13,514.2807007
1930-05-14,548.048645
1930-05-15,682.4168701
1930-05-16,823.1165771
1930-05-17,956.781311
1930-05-18,1090.446045
1930-05-19,984.9212646
1930-05-20,879.3964844
1930-05-21,823.1165771
1930-05-22,759.8016968
1930-05-23,689.4518433
1930-05-24,615.5844727
1930-05-25,588.1480713
1930-05-26,562.1185913
1930-05-27,540.3101196
1930-05-28,516.3911743
1930-05-29,682.4168701
1930-05-30,858.2915039
1930-05-31,1174.865845
1930-06-01,1451.588989
1930-06-02,1429.71228
1930-06-03,1415.127686
1930-06-04,1356.789795
1930-06-05,1291.159668
1930-06-06,1400.543213
1930-06-07,1663.063965
1930-06-08,1889.123535
1930-06-09,2122.475342
1930-06-10,2224.56665
1930-06-11,2304.781494
1930-06-12,2370.411621
1930-06-13,1998.507202
1930-06-14,1590.141602
1930-06-15,1364.082031
1930-06-16,1458.881226
1930-06-17,1553.680298
