DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
25.391,17.958,13.233,13.141,33.541,96.675,239.48,164.72,55.198,145.43,68.449,25.189,22.017,18.91,14.053,13.288,30.275,157.729,197.321,272.683,119.917,57.195,78.383,40.888,27.197,19.736,16.187,13.152,49.971,216.589,317.259,276.647,431.163,116.758,63.883,36.449,23.974,15.22,13.858,14.509,68.236,265.627,307.699,146.249,67.361,40.358,39.089,28.377,23.737,15.185,11.645,12.815,42.265,278.779,269.71,199.368,151.026,79.868,60.126,31.266
23.63,18.91,14.053,13.288,30.275,157.729,197.321,272.683,119.917,57.195,78.383,40.888,27.197,19.736,16.254,13.152,49.971,216.589,317.259,276.647,431.163,116.758,63.883,36.449,23.974,15.22,13.898,14.509,68.236,265.627,307.699,146.249,67.361,40.358,39.089,28.377,23.737,15.185,11.645,12.815,42.265,278.779,269.71,199.368,151.026,79.868,60.126,31.266,28.258,19.221,12.327,14.119,44.043,301.498,682.408,235.055,55.343,31.883,24.767,17.974
27.226,19.736,16.254,13.152,49.971,216.589,317.259,276.647,431.163,116.758,63.883,36.449,23.974,15.22,13.858,14.509,68.236,265.627,307.699,146.249,67.361,40.358,39.089,28.377,23.737,15.185,11.636,12.815,42.265,278.779,269.71,199.368,151.026,79.868,60.126,31.266,28.258,19.221,12.327,14.119,44.043,301.498,682.408,235.055,55.343,31.883,24.767,17.974,15.348,12.468,14.134,13.292,29.704,190.501,279.534,146.396,38.464,45.481,41.292,25.933
24.724,15.22,13.858,14.509,68.236,265.627,307.699,146.249,67.361,40.358,39.089,28.377,23.737,15.185,11.645,12.815,42.265,278.779,269.71,199.368,151.026,79.868,60.126,31.266,28.258,19.221,12.354,14.119,44.043,301.498,682.408,235.055,55.343,31.883,24.767,17.974,15.348,12.468,14.134,13.292,29.704,190.501,279.534,146.396,38.464,45.481,41.292,25.933,20.288,15.143,13.992,26.771,80.255,155.013,304.327,109.024,33.541,29.836,54.872,26.178
24.558,15.185,11.645,12.815,42.265,278.779,269.71,199.368,151.026,79.868,60.126,31.266,28.258,19.221,12.327,14.119,44.043,301.498,682.408,235.055,55.343,31.883,24.767,17.974,15.348,12.468,14.088,13.292,29.704,190.501,279.534,146.396,38.464,45.481,41.292,25.933,20.288,15.143,13.992,26.771,80.255,155.013,304.327,109.024,33.541,29.836,54.872,26.178,15.398,10.521,9.654,10.524,27.574,145.03,330.638,389.723,339.167,147.309,57.089,30.956
28.107,19.221,12.327,14.119,44.043,301.498,682.408,235.055,55.343,31.883,24.767,17.974,15.348,12.468,14.134,13.292,29.704,190.501,279.534,146.396,38.464,45.481,41.292,25.933,20.288,15.143,14.144,26.771,80.255,155.013,304.327,109.024,33.541,29.836,54.872,26.178,15.398,10.521,9.654,10.524,27.574,145.03,330.638,389.723,339.167,147.309,57.089,30.956,23.113,18.803,16.51,20.622,94.437,237.931,331.418,296.464,121.128,68.706,47.161,28.816
17.563,12.468,14.134,13.292,29.704,190.501,279.534,146.396,38.464,45.481,41.292,25.933,20.288,15.143,13.992,26.771,80.255,155.013,304.327,109.024,33.541,29.836,54.872,26.178,15.398,10.521,9.667,10.524,27.574,145.03,330.638,389.723,339.167,147.309,57.089,30.956,23.113,18.803,16.51,20.622,94.437,237.931,331.418,296.464,121.128,68.706,47.161,28.816,26.39,15.691,14.006,15.658,28.427,164.698,270.271,399.127,168.876,89.973,45.768,32.436
21.798,15.143,13.992,26.771,80.255,155.013,304.327,109.024,33.541,29.836,54.872,26.178,15.398,10.521,9.654,10.524,27.574,145.03,330.638,389.723,339.167,147.309,57.089,30.956,23.113,18.803,16.557,20.622,94.437,237.931,331.418,296.464,121.128,68.706,47.161,28.816,26.39,15.691,14.006,15.658,28.427,164.698,270.271,399.127,168.876,89.973,45.768,32.436,28.178,20.871,17.481,19.217,51.178,217.73,754.304,736.136,140.947,80.124,70.223,42.215
17.322,10.521,9.654,10.524,27.574,145.03,330.638,389.723,339.167,147.309,57.089,30.956,23.113,18.803,16.51,20.622,94.437,237.931,331.418,296.464,121.128,68.706,47.161,28.816,26.39,15.691,14.016,15.658,28.427,164.698,270.271,399.127,168.876,89.973,45.768,32.436,28.178,20.871,17.481,19.217,51.178,217.73,754.304,736.136,140.947,80.124,70.223,42.215,26.903,22.107,17.773,15.313,55.731,354.079,425.484,267.235,119.907,153.941,144.236,54.873
23.947,18.803,16.51,20.622,94.437,237.931,331.418,296.464,121.128,68.706,47.161,28.816,26.39,15.691,14.006,15.658,28.427,164.698,270.271,399.127,168.876,89.973,45.768,32.436,28.178,20.871,17.439,19.217,51.178,217.73,754.304,736.136,140.947,80.124,70.223,42.215,26.903,22.107,17.773,15.313,55.731,354.079,425.484,267.235,119.907,153.941,144.236,54.873,21.564,16.804,18.185,26.327,84.13,332.976,197.09,105.193,49.832,32.187,35.826,22.013
