DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,,,,,,,,,,,,,,,,,,,
91313.33521,76724.49584,44518.33037,20172.07201,17281.48831,9946.009197,14595.35224,50893.86838,75974.38257,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,75641.9428,62286.86844,30651.00426,12385.22236,11391.58422,14443.57394,20705.27823,42385.78865,93445.59375,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,78499.96212,66021.57733,32256.56946,17925.97974,17697.46278,22770.42585,30795.42017,65881.97528,96922.90252,96559.03104,94078.19211,92895.39742,100305.3498,97793.92872,93562.8255,80664.50188,47714.16968,24688.32587,32475.17551,36898.83329,43900.45678,65881.97528,94440.93091,101360.1524,101362.9841,99206.93936,98738.57872,93779.16621,86070.18789,73382.54161,40760.40166,17583.06272,25443.253,29433.09668,35581.53359,65228.9888,60509.13681,76600.75122,73795.6844,76456.3353,64856.3391,53391.13108,38033.20616,30807.87959,16633.59886,8886.675966,13872.13998,19721.55098,34886.92134,76555.44427,82176.90465,65483.84042
91313.33521,76724.49584,45070.22571,22212.58397,22696.23571,24513.89409,28316.84659,65142.33925,75974.38257,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78499.96212,66021.57733,32256.56946,17127.44466,16898.92771,22742.39217,30688.38249,65881.97528,96758.6648,96512.87458,94033.73466,92852.07265,100312.1459,97793.92872,93562.8255,80664.50188,47714.16968,25243.05289,31274.54122,35697.91582,42699.53931,65881.97528,93240.01345,101360.1524,101362.9841,99206.93936,98738.57872,93779.16621,86070.18789,73382.54161,40760.40166,17583.06272,25443.253,29433.09668,35581.53359,65228.9888,60509.13681,76600.75122,73795.6844,76456.3353,64856.3391,53391.13108,38033.20616,30807.87959,16633.59886,8886.675966,13872.13998,19721.55098,34886.92134,76555.44427,82176.90465,65483.84042,56503.43569,55435.32424,42665.84227,43772.18146,40734.06699,36338.72606,21453.69248,9227.893967,15924.26185,20900.66447,30801.36671,65881.97528,97836.68715,101362.9841
91313.33521,76724.49584,46966.03859,23115.60821,25747.37593,29990.37223,35694.5178,65881.97528,90440.60999,101360.1524,101362.9841,100765.4986,99237.23839,95608.71766,82581.55239,69683.22877,36732.89657,13707.05276,21494.18557,25917.56018,32919.46684,65881.97528,83459.6578,101360.1524,101362.9841,99206.93936,98738.57872,93779.16621,86070.18789,73382.54161,40760.40166,18177.7165,26037.90678,30027.75046,36176.18736,65823.64258,61043.75887,77139.90398,74329.17379,77000.5851,65398.88988,53934.81454,38574.62427,31345.89967,16606.13152,8876.481901,9036.755253,12918.42858,25959.75228,63239.44716,70536.98169,59560.52245,49711.35687,48458.05324,39721.17339,42888.41268,40139.97955,34645.37864,18587.1781,10509.51444,9214.868218,12183.88958,19960.82833,52635.92078,93445.59375,99242.90176,97612.13456,100679.4154,100700.3699,87732.10362,96296.81704,82318.77205,50252.20864,26157.68704,10943.32853,16597.35329,27786.18889,60393.03774,93445.59375,101360.1524
91313.33521,76724.49584,44374.76396,20750.86835,26577.90904,33357.52845,40921.52452,65881.97528,90656.1012,101360.1524,101362.9841,100136.2983,101362.9841,96349.48637,86024.3146,73336.66831,40714.52837,17537.18943,25397.37971,29387.22339,35535.66029,65183.11551,60463.26352,76554.87793,73749.81111,76410.17884,64810.18264,53345.25779,37987.0497,30761.72313,16633.59886,8902.5334,9285.377166,13167.0505,26208.65736,63488.35224,70785.32044,59608.37792,49729.47965,48470.22948,39725.70408,42903.42061,40164.89837,34633.48556,18708.94054,10711.9799,17408.34778,19954.31546,28274.08815,62071.09407,94566.94088,99382.22064,97859.6238,100947.5759,100981.273,87951.27601,95696.21672,81717.88857,49651.60832,25557.08672,10342.44505,16539.58693,28270.9733,62000.01878,94566.94088,101360.1524,101362.9841,101360.1524,93785.67908,87395.69948,74993.48701,61950.74747,30366.98629,13372.34763,0,1409.329455,3017.726341,50444.76319,70950.12448,101360.1524
91313.33521,76724.49584,45014.72469,20590.595,25843.08687,30260.23177,34925.71542,70317.24296,57667.25808,101360.1524,101362.9841,99312.5612,97777.22178,79225.15656,66496.73402,58723.75963,38480.89551,35925.58327,32717.56772,25485.16193,28316.84659,65596.54147,84242.05227,87406.45988,82377.10476,80349.0522,68595.57869,68338.46172,65490.35329,62331.04272,40090.9914,36226.59135,41167.31474,32165.10604,34223.74079,65881.97528,94643.39636,101362.9841,100701.2194,98649.09748,93930.37817,81356.56561,96061.78721,82083.45906,50017.17881,25922.65721,10708.01554,16362.32347,27550.87589,60158.00791,93445.59375,101360.1524,101362.9841,101360.1524,93785.67908,87395.69948,74993.48701,61950.74747,30366.98629,13372.34763,0,1409.329455,3017.726341,49322.84973,70950.12448,101360.1524,101362.9841,101360.1524,95773.23854,83133.7309,81225.74178,73956.52409,41180.62366,16869.76136,17149.5318,20531.41279,28316.84659,64877.8599,58377.16143,74136.9024
91313.33521,76724.49584,44971.11675,20513.00684,21543.74006,25485.16193,28316.84659,57977.04439,76402.25013,101360.1524,101362.9841,99707.29804,96060.65454,85510.647,85012.55367,72783.6403,40580.30651,16022.52131,22719.17236,25264.85687,33584.62956,65881.97528,94566.94088,101360.1524,101362.9841,101360.1524,95773.23854,87603.54513,76422.35509,62444.3101,30377.74669,11176.65935,0,11600.84571,22789.39814,55396.53016,93445.59375,101360.1524,101362.9841,101360.1524,93785.67908,87395.69948,74993.48701,61950.74747,30366.98629,13372.34763,0,1409.329455,3017.726341,52889.35656,70950.12448,101360.1524,101362.9841,101360.1524,95773.23854,83133.7309,81225.74178,73956.52409,41180.62366,16869.76136,23645.41641,29151.06089,35998.9239,70122.13989,63107.77382,70441.83709,67649.22968,66172.7893,60165.93663,57243.35489,45623.53689,32636.58154,20237.48392,9983.387434,14089.04702,19669.44798,26342.31288,74036.09443,95302.04622,101362.9841
91313.33521,76724.49584,44378.16198,20190.19479,28254.54953,31740.35334,33847.12673,63313.92046,75974.38257,101360.1524,101362.9841,101360.1524,95773.23854,87603.54513,76422.35509,62444.3101,30377.74669,11833.32702,0,11600.84571,22789.39814,55396.53016,93445.59375,101360.1524,101362.9841,101360.1524,93785.67908,87395.69948,74993.48701,61950.74747,30366.98629,12752.49186,0,1409.329455,3567.073165,53968.51158,72029.27951,101360.1524,101362.9841,101360.1524,95773.23854,83133.7309,81225.74178,73956.52409,41180.62366,16869.76136,23645.41641,29151.06089,35998.9239,70122.13989,63107.77382,70441.83709,67649.22968,66172.7893,60165.93663,57243.35489,45623.53689,32636.58154,20237.48392,9983.387434,14089.04702,19669.44798,26342.31288,74036.09443,95302.04622,101362.9841,101362.9841,101362.9841,94912.97274,83905.36497,67459.22364,59304.82132,35915.67237,24861.05863,30466.66159,37611.56832,52810.63573,81484.55775,80289.87,83450.03008
91313.33521,76724.49584,44463.39569,19527.86375,6531.563835,10091.84096,17855.18762,54271.78501,75974.38257,101360.1524,101362.9841,101360.1524,95572.18893,89987.54045,74993.48701,61950.74747,30366.98629,13372.34763,0,1409.329455,3017.726341,52889.35656,70950.12448,101360.1524,101362.9841,101360.1524,95773.23854,83133.7309,81225.74178,73956.52409,41180.62366,16004.11536,22779.77041,28285.41489,36554.7836,70677.71642,63662.21768,70438.72223,67645.83166,66166.27642,60190.85545,57266.57471,45646.75671,32660.36769,20249.377,9987.634961,16375.91555,21956.03334,28629.18141,76322.67979,97344.25719,101362.9841,101362.9841,101362.9841,94905.04403,83897.71942,67451.29492,59306.8035,35915.38921,24860.77547,32748.71625,39893.62298,54104.43245,86655.21394,82284.79184,85789.0016,79491.90126,77042.7772,63606.99983,54756.56942,41964.43398,40351.22323,24680.68032,30567.46956,36064.90216,40989.20178,46533.92351,65881.97528,97836.68715,101362.9841
91313.33521,76724.49584,45513.9507,20760.49608,0,1663.897906,12134.61827,52483.00981,74939.96817,101360.1524,101362.9841,101360.1524,95773.23854,83084.17642,74122.17764,59191.55394,28390.18722,19534.94296,26310.59801,31816.24249,44182.49257,78305.70855,71291.34249,70441.83709,67649.22968,66172.7893,60165.93663,57243.35489,45623.53689,32636.58154,20237.48392,10102.03502,16490.03244,22070.4334,28743.2983,76437.07985,97467.15231,101362.9841,101362.9841,101362.9841,94864.8341,83869.68574,67412.78401,59343.33223,35952.76744,24656.04466,23765.47984,30201.04956,42732.95319,65881.97528,74149.07864,76253.30351,68554.51926,67732.48121,53836.83825,45570.30122,32473.75967,30152.62776,21423.67663,19382.03199,17856.88663,22071.84924,26906.9508,64017.5941,96367.89232,101362.9841,101362.9841,98655.04402,93541.87103,92378.04864,76592.8225,62064.01485,32398.15369,15768.23602,0,5213.131458,16646.62461,39761.94965,76988.40885,101360.1524
91313.33521,76724.49584,44643.49083,22783.73477,26781.224,31041.2104,36310.97555,56765.93286,71051.78196,98953.50358,100807.1244,98816.45005,93592.55819,77733.14192,74579.21154,61441.89374,38134.58047,25584.83723,30217.19017,34948.08573,41620.95063,78051.70644,99090.84029,101362.9841,101362.9841,101362.9841,95001.03814,83689.02426,74942.23352,64916.65398,40622.49862,29471.04126,26825.11511,33332.32646,43469.1912,65881.97528,74404.4966,83958.0343,84084.61061,81423.67653,68770.29363,59335.96985,46981.61285,46020.82225,35947.38724,33905.7426,30624.95276,25485.16193,28316.84659,62504.34182,93445.59375,101362.9841,101362.9841,99328.41863,94907.87571,92378.04864,76592.8225,62064.01485,32398.15369,15768.23602,0,5213.131458,15232.19812,39761.94965,76988.40885,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,77550.78142,64069.41393,32298.47839,14179.37776,12933.43651,582.4775344,9794.230899,56543.64561,88626.91597,101360.1524
