DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,,,,,,,,,,,,,,,,,,,
74668.69278,55163.48251,34330.4953,18468.81368,10609.18974,7992.713119,6583.950001,25519.14215,95854.22472,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90340.08519,69601.67625,48926.69705,26762.53488,19579.11724,16722.23059,16280.77095,19818.39459,55702.63527,94369.28929,98941.89368,99935.81499,97809.21981,96110.20902,87482.06586,65866.96735,43411.99117,20123.36703,12311.59856,10674.60166,9726.836804,32536.05673,64861.7193,95543.87209,98899.41841,95305.44424,83364.23003,81898.26688,72419.20249,51224.04281,29722.49486,13361.0209,7397.776172,5970.040767,5322.717654,23657.87582,77387.67639,99935.81499,98941.89368,99935.81499,90593.52096,89158.70635,79911.84009,58506.00308,36847.86296,20466.28404,14429.69869,13435.77737,13859.68056,40497.62132,83532.14893,95783.43261,99045.8165,88890.82898,82686.32472,72048.53496,48869.49702,22042.39972,5779.468389,-1265.479874,-9036.755253,-12002.94493,-8337.612311,10092.12413,51360.81318,82120.8373
74668.69278,55163.48251,34226.57248,18714.03758,12340.48174,10286.09452,12337.65006,39743.26053,95854.22472,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,87482.06586,65866.96735,43411.99117,20921.9021,13110.13364,10623.9145,9675.86648,32485.08641,64810.74897,95543.87209,98899.41841,95305.44424,83364.23003,81898.26688,72419.20249,51224.04281,29722.49486,12806.29387,8598.410468,7170.958231,6523.635118,24858.79329,78588.59385,99935.81499,98941.89368,99935.81499,90593.52096,89158.70635,79911.84009,58506.00308,36847.86296,20466.28404,14429.69869,13435.77737,13859.68056,40497.62132,83532.14893,95783.43261,99045.8165,88890.82898,82686.32472,72048.53496,48869.49702,22042.39972,5779.468389,-1265.479874,-9036.755253,-12002.94493,-8337.612311,10092.12413,51360.81318,82120.8373,86043.85322,80698.19892,73069.92362,66066.60112,45356.22586,19486.23798,5779.468389,-906.1390909,-8329.683594,-11298.70496,-10825.81362,5929.830845,45502.34079,78170.92036
74668.69278,55163.48251,35703.57919,19987.163,13895.07662,12460.26201,13746.69635,26970.38054,81387.99731,99935.81499,99935.81499,99935.81499,94345.21997,92879.53999,83400.47559,62205.31592,40703.76797,24342.294,18378.76611,16951.31388,16303.99076,34639.14893,88368.9495,99935.81499,98941.89368,99935.81499,90593.52096,89158.70635,79911.84009,58506.00308,36847.86296,19871.63026,13835.04491,12841.12359,13265.02679,39902.96754,82937.49515,95188.77883,98451.16273,88296.1752,82091.95411,71453.88118,48274.84324,21447.74595,5779.468389,-1265.479874,-9036.755253,-12002.94493,-8337.612311,10092.12413,51360.81318,82120.8373,86043.85322,80698.19892,68822.39663,60063.42964,39353.05438,13483.0665,4894.283765,-1791.323715,-9214.868218,-12183.88958,-11710.99825,5044.64622,44617.15616,77286.01891,85459.67668,86108.41563,77137.63863,76235.74707,69685.21095,49569.77263,28945.48059,12648.28587,7823.661545,5848.561495,8293.721198,25481.48074,68288.90724,99935.81499
74668.69278,55163.48251,33804.36829,17298.47841,9311.428665,8862.040309,8519.689634,35958.99715,81172.5061,99935.81499,98941.89368,99935.81499,90639.39426,89204.57964,79957.71338,58551.87637,36893.73626,20512.15733,14475.57198,13481.65066,13905.55386,40543.49461,83578.02222,95829.3059,99091.97296,88936.70227,82732.48118,72094.69142,48915.37031,22088.27302,5779.468389,-1514.101787,-9285.377166,-12251.85001,-8586.517392,9843.219044,51111.9081,81872.21538,85794.94814,80449.57701,68573.49155,59814.80773,39104.43247,13234.44459,4645.661852,-2039.945628,-9463.7733,-11583.0061,-11110.39793,5645.246537,45218.03965,77886.61923,86060.56016,86709.29912,77738.23895,76836.34739,70285.81126,50170.65612,29546.0809,13248.88618,8424.261861,6449.161811,8894.321515,26082.36423,68889.79073,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90988.54097,69937.79722,50133.56105,30830.81623,23573.20845,15632.59833,13649.85273,31440.19477,72362.85196,99935.81499
74668.69278,55163.48251,34447.44388,18370.27106,14029.86481,12608.64228,14515.49873,35409.36716,99071.58483,99935.81499,98941.89368,99935.81499,90396.15254,87658.47982,64479.44187,39407.98907,17570.60331,1011.47776,-5004.15313,-7121.120581,-3455.787958,14973.94848,56242.63753,87002.94482,90925.67758,87392.58463,79764.02615,72760.98682,52050.61156,27936.26817,7057.974013,0,-5667.900014,-7787.415981,-7314.524643,9441.119822,49013.62977,81682.20934,94103.67727,99935.81499,90964.75482,90063.14643,69920.24077,49805.08563,29180.51041,12883.59886,8058.691372,6083.591322,8528.751025,25716.79374,68524.22024,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90988.54097,69937.79722,50133.56105,30830.81623,23573.20845,15632.59833,13649.85273,31440.19477,72362.85196,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,74356.35796,53859.77489,32944.952,17726.34597,11761.6854,10930.01962,13442.29025,35604.47023,81432.17159,90736.23787
74668.69278,55163.48251,34359.66165,17912.95399,12202.29553,12446.66992,14439.60958,47749.56573,98103.99819,99935.81499,98941.89368,99935.81499,91875.70778,92773.06865,79707.9588,59104.90439,38226.61023,22026.82546,14602.99779,12483.76499,12956.37316,29712.01762,69284.52757,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,89559.6729,69444.23458,48819.94254,26188.26923,19608.00042,11686.36259,14131.52229,31319.28184,74126.70833,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90988.54097,69937.79722,50133.56105,30830.81623,23573.20845,15632.59833,13649.85273,31440.19477,72362.85196,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,74356.35796,53859.77489,32944.952,17726.34597,11761.6854,10930.01962,13442.29025,35604.47023,81432.17159,99935.81499,99935.81499,91075.19053,81016.19711,75855.73499,54351.92169,28598.03288,5779.468389,-1410.462129,-8915.842318,-12308.48371,-13350.82683,11194.49896,37402.58999,57901.72157
74668.69278,55163.48251,34351.44977,18106.92438,11618.40216,10717.07693,14719.6632,41571.67931,95854.22472,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,89559.6729,69444.23458,48819.94254,26972.64588,20392.37707,12470.73924,14915.89894,32103.65849,74911.08499,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90988.54097,69937.79722,50133.56105,30108.17031,22850.27936,14909.66924,12926.92364,30717.26568,71640.20604,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,74356.35796,53859.77489,32944.952,17726.34597,11761.6854,10930.01962,13442.29025,35604.47023,81432.17159,99935.81499,99935.81499,91075.19053,81016.19711,75855.73499,54351.92169,28598.03288,5779.468389,-1410.462129,-8915.842318,-12308.48371,-13350.82683,11194.49896,37402.58999,57901.72157,65664.78507,72300.83807,77067.69602,75635.42992,54920.52397,30991.93909,10282.6965,0,-6965.377925,-7891.338808,-4663.218297,18462.86715,51859.47285,87937.11759
74668.69278,55163.48251,34322.28342,17834.79949,10736.89872,8634.089694,12127.82223,37369.17611,95854.22472,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90988.54097,69937.79722,50133.56105,30830.81623,23573.20845,15632.59833,13649.85273,31440.19477,72362.85196,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,74356.35796,53859.77489,32944.952,17170.48627,11206.10887,10374.44309,12886.43055,35048.8937,80876.59506,99935.81499,99935.81499,91075.19053,81016.19711,75855.73499,54351.92169,28598.03288,5779.468389,-1410.462129,-8915.842318,-12308.48371,-13350.82683,11194.49896,37402.58999,57901.72157,65664.78507,72300.83807,77067.69602,75635.42992,54920.52397,30991.93909,10282.6965,0,-6965.377925,-7891.338808,-4663.218297,18462.86715,51859.47285,87937.11759,94734.57661,88249.73557,80636.4682,71122.57408,47049.00695,20761.34558,5779.468389,0,-5576.436599,-7258.174118,-8193.479561,8089.273566,50794.19308,87458.27971
74668.69278,55163.48251,34187.21206,17849.80742,10600.12835,2817.809404,1555.444383,23816.16699,69420.7316,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,74356.35796,51226.30816,30311.48527,9542.777302,3578.116735,2746.450951,5258.721581,27420.90157,73248.60292,99935.81499,99935.81499,91075.19053,81016.19711,75855.73499,54351.92169,28598.03288,5779.468389,-1658.800873,-9164.181063,-12556.82245,-13599.16558,10946.44339,37154.25124,57653.38283,65416.44632,72052.49932,76819.64045,75387.09118,54672.18522,30743.88351,10034.35776,0,-6965.377925,-7891.338808,-4663.218297,18462.86715,51859.47285,87937.11759,94734.57661,86437.45739,78824.19002,69310.2959,45236.72877,18949.0674,5779.468389,0,-7332.081088,-9013.818607,-9949.12405,6333.629077,49038.54859,85702.63522,96694.10239,99935.81499,96277.27841,96110.20902,89389.20548,69824.52983,49456.22208,27922.39292,22018.61357,14845.38999,15141.86738,28993.05289,71976.04384,99935.81499
74668.69278,55163.48251,34604.60238,20184.81459,12781.94138,11827.66365,13130.2386,36680.22723,80174.62043,99935.81499,99935.81499,99935.81499,91933.47415,94673.41222,73169.59892,50048.89368,29168.90051,12464.50953,6714.773832,4171.63784,3129.294717,27674.90368,53882.71154,74381.84312,82144.90662,88780.95961,93548.10074,92115.55147,69701.63472,46651.15525,25941.6295,8578.305507,3368.572071,2442.611187,5670.731699,28796.81714,62193.42284,98271.35075,99935.81499,93450.97395,85837.70658,76323.81246,52250.5285,25962.58397,5779.468389,0,-5576.436599,-7258.174118,-8193.479561,8089.273566,50794.19308,87458.27971,98449.74688,99935.81499,96277.27841,96110.20902,89389.20548,69824.52983,49456.22208,27922.39292,22018.61357,14845.38999,15141.86738,28993.05289,71976.04384,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,88431.24656,67819.13076,46046.02424,24933.54976,18760.19404,15748.13106,12096.6737,33897.81389,83201.69133,99935.81499
