DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,
165982.0304,131887.9803,78848.82681,38640.88625,27890.67845,21179.30255,76413.01163,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79577.70245,39147.75781,30970.7019,36986.04971,62204.18414,149148.2312,195732.2762,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,75668.56172,38049.34731,30009.06178,40522.25756,98418.03343,161784.6241,192102.9059,188200.8444,183669.5825,179692.1982,165982.0304,131888.5466,77436.66565,38049.34731,39872.95226,49223.17514,89539.85239,171828.6098,201295.9703,199142.7572,189332.1024,182937.8752,165982.0304,131888.5466,77608.26574,38049.34731,39872.95226,49441.21486,105726.6116,144041.2878,172384.1863,165347.1667,147542.6659,125439.6679,125439.6679
165982.0304,131887.9803,79296.79933,40926.62214,35036.71796,40654.49724,104885.6013,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,75668.56172,38049.34731,30009.06178,40364.24956,98367.06311,161569.4161,192056.7494,188157.5196,183676.3786,179692.1982,165982.0304,131888.5466,77436.66565,38049.34731,39872.95226,49223.17514,90740.76987,171828.6098,201295.9703,199142.7572,189332.1024,182937.8752,165982.0304,131888.5466,77608.26574,38049.34731,39872.95226,49441.21486,105726.6116,144041.2878,172384.1863,165347.1667,147542.6659,125439.6679,86902.70443,52850.28007,22413.06757,7621.196202,4835.384794,26549.30941,86647.56964,133537.7198,147604.6798,136133.5251,115735.7676,109838.7842,109838.7842
165982.0304,131887.9803,82669.61897,43102.77183,39642.45313,49441.21486,92852.35716,171828.6098,201295.9703,200701.3165,193582.4611,188488.2604,165982.0304,131888.5466,77436.66565,38049.34731,39872.95226,49223.45831,100521.1257,171828.6098,201295.9703,199142.7572,189332.1024,182937.8752,165982.0304,131888.5466,77608.26574,38049.34731,39872.95226,49441.21486,105726.6116,143981.2561,172328.6853,165296.7627,147490.8461,125388.6975,86849.46876,52793.64638,22385.60023,7611.002137,0,17622.14023,73331.57234,121897.7966,141681.3618,129156.254,108543.5716,102951.8438,79493.03508,48128.44584,23481.46221,8718.190854,0,8249.830205,57680.56783,138062.7519,176528.9232,186787.8337,177838.011,163967.853,163967.853
165982.0304,131887.9803,78179.13338,38049.34731,35889.33822,49441.21486,101840.9739,171828.6098,201295.9703,200072.1161,192002.3811,185554.0687,165982.0304,131888.5466,77608.26574,38049.34731,39872.95226,49441.21486,105726.6116,144041.2878,172384.1863,165346.8835,147542.6659,125439.951,86902.42126,52849.9969,22413.06757,7388.431719,0,17622.14023,73331.57234,121897.2303,141480.5953,128919.8083,108299.1972,102718.2298,79269.33199,47867.93084,23354.60273,8672.034394,7944.574594,17163.69047,67716.34158,139784.9825,177268.8424,187656.8777,178719.5145,164787.6258,165982.0304,131888.5466,79197.69036,38805.97347,18766.70718,37165.29535,88082.38428,163456.734,201295.9703,201295.9703,191594.9017,183505.9111,183505.9111
165982.0304,131887.9803,79462.16971,38960.86662,39872.95226,49441.21486,105726.6116,156738.8452,201295.9703,199248.3791,188173.377,166883.6388,130976.1778,98131.75011,56051.49963,36937.06156,27713.41499,24861.05899,80570.49111,140484.6918,174409.4072,167741.6392,148359.607,141099.4506,117540.9665,90267.31219,47148.9661,36226.59187,35499.41524,26909.21654,75323.09619,143657.0282,183045.196,198584.9153,184895.1357,171419.7145,165982.0304,131888.5466,79197.69036,38806.25663,18766.70718,36079.62744,85874.80289,161969.8163,201295.9703,201295.9703,191594.9017,183505.9111,165982.0304,131888.5466,80500.54849,44203.1645,23573.20879,16667.57931,80763.04567,143312.9785,201295.9703,201295.9703,193582.4611,179243.9425,179243.9425
165982.0304,131887.9803,79330.77954,38425.96138,33746.03608,42756.45679,105726.6116,174506.2508,201295.9703,199643.1159,187936.365,178283.7182,164720.5148,131888.5466,78806.91787,38049.34731,37322.17068,46541.00339,95593.99428,163851.4708,201295.9703,201295.9703,193582.4611,183713.7568,165982.0304,131888.5466,79197.69036,37364.92912,19608.00071,36920.92096,86715.81324,167572.3045,201295.9703,201295.9703,191594.9017,183505.9111,165982.0304,131888.5466,80500.54849,44203.1645,23573.20879,16667.57931,84329.55255,143312.9785,201295.9703,201295.9703,193582.4611,179243.9425,155582.102,127816.3008,74125.57673,34596.10782,35407.10232,49441.21486,105726.6116,144539.9475,170377.6545,157247.9821,141182.1358,133099.0918,133099.0918
165982.0304,131887.9803,78729.61288,38297.11973,39872.95226,48566.79063,104885.6013,171828.6098,201295.9703,201295.9703,193582.4611,183713.7568,165982.0304,131888.5466,79197.69036,38805.97347,20392.37737,37705.29762,87500.1899,168356.6812,201295.9703,201295.9703,191594.9017,183505.9111,165982.0304,131888.5466,80500.54849,42860.66279,22850.27969,16493.99704,84685.77848,143669.4876,201295.9703,201295.9703,193582.4611,179243.9425,155582.102,127816.3008,74125.57673,34596.10782,35407.10232,49441.21486,105726.6116,144539.9475,170377.6545,157247.9821,141182.1358,133099.0918,99975.46002,61234.6153,26016.95269,8572.925429,5173.204778,12991.48624,85230.59462,132704.6381,159264.7079,173663.8246,171980.6712,159540.7972,159540.7972
165982.0304,131887.9803,78785.68024,37362.66377,17268.46281,29983.01028,91640.96244,171828.6098,201295.9703,201295.9703,193381.4115,186097.7521,165982.0304,131888.5466,80500.54849,44203.1645,23573.20879,16667.57931,84329.55255,143312.9785,201295.9703,201295.9703,193582.4611,179243.9425,155582.102,127816.3008,74125.57673,33174.6021,33985.87977,49441.21486,105726.6116,144538.8148,170374.5397,157241.4692,141207.0546,133122.3116,99998.67983,61258.40145,26028.84576,8577.172956,7460.073342,15278.3548,87517.18001,134746.8491,159264.7079,173663.8246,171972.7425,159533.1516,122371.8206,90298.74389,46198.08638,24860.77582,25783.3387,49441.21486,105118.0826,134144.2666,173726.1217,165292.5152,144243.4701,125879.1453,125879.1453
165982.0304,131887.9803,79701.1639,38610.30405,10600.12851,13690.06285,76299.1779,144360.7018,201295.9703,201295.9703,193582.4611,179194.388,148478.5377,110417.8637,58701.67334,29077.72068,29888.71518,49441.21486,105726.6116,144539.9475,170377.6545,157247.9821,141182.1358,133099.0918,99975.46002,61234.6153,26016.95269,8443.23427,7325.851487,15144.13294,87383.52449,134621.4055,159016.3692,173415.4859,171684.477,159256.7792,122084.971,90087.21705,45987.12586,24656.04502,16800.10216,38069.73544,84344.84364,126008.5533,164190.4235,154169.9408,132661.0302,114880.5988,77710.48956,49101.69587,27203.14541,19382.03227,10524.80569,16957.82699,70351.22419,145406.443,187065.622,198590.8619,189819.1522,188488.2604,188488.2604
165982.0304,131887.9803,79248.09435,42968.54997,39563.16595,49441.21486,93446.16144,151226.4046,198889.3214,198752.2679,185526.035,172406.5566,147748.8126,111490.789,67303.48195,38049.34731,36931.96453,44750.24599,105726.6116,152973.554,175744.8297,190143.9464,188549.1416,175804.5783,144643.8703,111567.8108,66564.12907,38049.34731,30193.68762,49139.92361,94678.79379,136597.9214,182229.3877,174874.653,154608.0024,135659.7843,99232.14278,71983.40725,41726.85623,33905.74309,25048.51652,20123.36732,70593.6164,144239.7889,188821.2665,199264.2365,191185.1569,188488.2604,165982.0304,131888.5466,81854.37695,43690.62957,22018.61389,30374.06593,68755.00353,148964.4548,201295.9703,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,80004.43733,42184.45648,39872.95226,49441.21486,105726.6116,173082.7629,201295.9703,201295.9703,193582.4611,183058.505,152972.9877,119907.9718,66709.96084,38049.34731,30193.40445,49441.21486,103822.3037,143064.0734,186548.8395,179598.1863,159803.2944,140498.0007,104298.593,77374.93492,41868.44047,33676.37663,24819.15006,20123.36732,70593.6164,144239.7889,188821.2665,199264.5197,191186.0064,188488.2604,165982.0304,131888.5466,81854.37695,43690.62957,22018.61389,30374.06593,68755.00353,148964.4548,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78344.50376,39112.92809,31693.631,21890.90491,90441.4608,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,78362.90971,38049.34731,29184.75836,48593.12529,105726.6116,163127.6922,200987.883,198707.5273,184529.282,164928.6437,131225.0829,104968.2865,51200.54057,38049.34731,29192.12074,23100.60061,73571.13286,147217.3054,191798.4998,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,81854.37695,42220.70205,21216.11445,30603.14923,68984.08682,149193.5381,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78344.50376,39112.92809,31693.631,23472.68398,96412.63433,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79398.45681,41258.77875,39872.95226,49441.21486,105726.6116,171828.8929,201295.9703,198842.0323,189147.1934,177085.3493,177085.3493
165982.0304,131887.9803,81629.54118,41330.42038,35465.43503,45336.97106,104885.6013,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,81854.37695,43690.62957,22018.61389,30374.06593,68755.00353,148964.4548,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78344.50376,37747.48972,32027.20346,23594.16326,96534.1136,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79398.45681,41258.77875,35863.00356,45688.38313,105726.6116,168345.6376,201295.9703,198842.0323,189147.1934,177085.3493,159082.0643,131888.5466,79109.62497,38933.68245,9686.627022,9836.423142,53884.69449,136067.83,200484.4094,201295.9703,193582.4611,187380.2221,187380.2221
165982.0304,131887.9803,79694.08469,40543.4952,11850.3173,17196.82118,77930.51146,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78344.50376,39112.92809,31693.631,23472.68398,96412.63433,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79398.45681,39874.65127,34479.15924,44304.53882,105726.6116,168345.3544,201295.9703,198842.0323,189147.1934,177085.3493,159082.0643,131888.5466,79109.62497,38933.68245,9686.627022,9836.423142,53884.69449,136067.83,200484.4094,201295.9703,193582.4611,187380.2221,165982.0304,131888.5466,80512.72474,41067.0737,33802.10343,37859.62444,83781.05522,147965.1533,201295.9703,197218.9106,188330.2524,180791.4582,180791.4582
165982.0304,131887.9803,79242.43098,38878.46459,28615.0234,24169.27842,72286.96385,132729.2738,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79398.45681,41258.77875,35863.00356,45688.38313,105726.6116,168345.6376,201295.9703,198842.0323,189147.1934,177085.3493,159082.0643,131888.5466,79109.62497,37512.74306,9125.953451,9955.3539,54163.0491,136346.1846,200484.4094,201295.9703,193582.4611,187380.2221,165982.0304,131888.5466,80512.72474,41067.0737,39592.89864,39983.38796,87142.54813,147965.1533,201295.9703,197218.9106,188330.2524,180791.4582,153310.5245,118360.1729,69569.67922,33471.07949,30780.12952,30272.69162,70514.32923,104877.3894,125601.9234,113055.8612,92907.57501,76697.31277,76697.31277
165982.0304,131887.9803,79599.78959,39974.0434,32828.57023,38267.38704,99581.57268,171828.6098,201295.9703,201129.7504,193582.4611,183466.2676,165982.0304,131888.5466,79109.62497,38933.39928,19030.90336,10317.2432,53884.69449,136068.1132,201295.9703,201295.9703,193582.4611,187380.2221,165982.0304,131888.5466,80512.72474,39675.86701,39872.95226,40290.62575,87450.06908,148272.9574,201295.9703,197218.9106,188330.2524,180791.4582,153310.5245,118360.1729,69569.67922,33471.07949,24082.62887,25601.26137,70784.18878,104251.3039,125000.7567,112162.7478,90839.3125,74935.43855,44521.1627,10142.81143,10720.47511,2675.092536,0,5067.299771,49971.30624,136790.476,191783.2087,197654.7069,183598.7904,162117.9134,162117.9134
165982.0304,131887.9803,79728.06491,41023.46575,12658.19695,14187.30668,104885.6013,171828.6098,201295.9703,201295.9703,193582.4611,187315.6597,165982.0304,131888.5466,80512.72474,41067.0737,39592.89864,39983.38796,87142.54813,147965.1533,201295.9703,197218.9106,188330.2524,180791.4582,153310.5245,118360.1729,69569.67922,32929.37821,23540.92758,25130.06904,70527.92132,104073.7573,124812.4497,111826.6268,90365.57165,74554.29379,44233.7467,9362.682292,9940.062802,6406.403465,5168.107746,14140.30072,55762.38462,140019.7292,190975.329,197194.8413,183132.9783,161674.7548,123213.3973,88900.74116,53719.04094,38049.34731,38998.52803,49441.21486,80501.96434,150635.9983,183848.2618,180613.3452,168166.392,176674.4718,176674.4718
165982.0304,131887.9803,80234.37013,40242.48711,37550.1213,38887.24282,90937.00562,171828.6098,201295.9703,201295.9703,193582.4611,186937.0635,161900.1569,126916.3914,76815.96036,38049.34731,28660.89669,30179.5292,70931.15322,105137.3381,126021.5791,113829.4774,95697.35077,79103.11209,50272.88066,18488.35257,14730.42381,8023.012261,6784.433373,15757.19268,58169.59978,142426.9444,193382.5442,198186.7805,184142.1907,163053.5021,123035.5675,88544.23205,53792.0984,38049.34731,28278.05292,43434.92844,80503.38018,150636.5646,183848.2618,180818.076,168366.0257,176870.9907,151143.7194,110011.8001,60071.92556,38049.34731,29238.84354,49441.21486,103052.935,153443.3305,187818.5669,198837.5016,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,79462.73605,38049.34731,31873.15981,39298.12027,79822.64318,139946.9549,189438.8569,198214.2478,184103.1134,163249.4546,138519.5026,102099.7899,50264.10244,38049.34731,36810.76843,44413.84185,72865.19387,157122.8216,196906.859,198893.8521,185440.8013,165562.3747,132216.1725,100034.3591,66116.15655,38049.34731,30220.30546,45377.18098,86193.08425,156325.9855,189537.6827,186899.6853,172646.1171,181063.5831,156796.8947,115932.2865,62797.98842,38049.34731,38017.06611,49441.21486,103052.935,160888.6791,195263.9155,200380.4866,193582.4611,188488.2604,165982.0304,131888.5466,85152.44012,48977.66808,39872.95226,49441.21486,105726.6116,159931.8528,201295.9703,195003.1174,182816.1127,188488.2604,188488.2604
165982.0304,131887.9803,78644.37917,38049.34731,38434.45643,49441.21486,102177.378,171828.6098,201295.9703,200729.9165,191293.8936,173892.6248,137415.4288,86227.91397,56327.02255,38049.34731,28784.35814,43941.23367,81009.6854,151142.5867,184354.567,181701.2785,168836.9349,177333.9712,151768.9554,110628.541,60213.79297,38049.34731,38017.06611,49441.21486,103052.935,153168.0908,187543.3272,198685.7233,193582.4611,188488.2604,165982.0304,131888.5466,85152.44012,48977.66808,39872.95226,49441.21486,105726.6116,159931.8528,201295.9703,195003.1174,182816.1127,188488.2604,165982.0304,131538.5504,80839.21798,40545.47738,31114.83465,41853.43254,104885.6013,171828.6098,201295.9703,191928.4741,178632.0154,163354.7933,163354.7933
