DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
187.383,135.721,110.654,150.733,287.632,607.667,1056.586,964.954,468.965,280.285,210.309,186.735,106.817,90.643,87.771,129.811,257.333,713.246,1076.684,628.162,322.047,172.102,121.045,79.465,78.998,93.537,95.495,170.013,301.576,817.014,752.504,464.936,249.451,178.605,100.101,102.743,96.708,85.374,87.183,127.947,449.946,769.746,860.343,548.348,292.916,198.99,220.646,166.288,131.59,120.394,106.465,133.745,323.005,668.165,857.607,451.562,307.836,196.384,132.068,187.381
187.383,83.015,82.45,83.314,322.247,812.185,948.168,574.3,268.688,245.989,121.045,79.465,78.998,93.537,95.456,170.013,301.576,817.014,752.504,464.936,249.451,178.605,100.101,102.743,96.708,85.374,87.209,127.947,449.946,769.746,860.343,548.348,292.916,198.99,220.646,166.288,131.59,120.394,106.465,133.745,323.005,668.165,857.607,451.562,307.836,196.384,132.068,187.381,110.251,110.188,120.87,147.91,459.354,684.676,1042.48,743.627,340.596,158.826,140.662,302.464
187.383,100.269,90.085,169.365,346.714,734.236,1300.805,711.146,334.802,234.924,100.101,102.743,96.708,85.374,87.183,127.947,449.946,769.746,860.343,548.348,292.916,198.99,220.646,166.288,131.59,120.394,106.5,133.745,323.005,668.165,857.607,451.562,307.836,196.384,132.068,187.381,110.251,110.188,120.87,147.91,459.354,684.676,1042.48,743.627,340.596,158.826,140.662,302.464,164.862,133.29,174.971,133.791,362.38,876.091,938.168,784.88,463.362,202.517,98.049,75.968
200.128,105.339,96.979,170.92,382.143,922.393,1042.054,640.368,323.245,199.081,220.646,166.288,131.59,120.394,106.465,133.745,323.005,668.165,857.607,451.562,307.836,196.384,132.068,187.381,110.251,110.188,121.003,147.91,459.354,684.676,1042.48,743.627,340.596,158.826,140.662,302.464,164.862,133.29,174.971,133.791,362.38,876.091,938.168,784.88,463.362,202.517,98.049,75.968,85.797,102.609,114.066,168.734,380.222,728.22,842.349,379.234,237.503,182.966,202.138,144.748
187.383,91.928,103.733,145.646,391.403,836.346,1139.946,747.938,348.691,251.832,132.068,187.381,110.251,110.188,120.87,147.91,459.354,684.676,1042.48,743.627,340.596,158.826,140.662,302.464,164.862,133.29,174.701,133.791,362.38,876.091,938.168,784.88,463.362,202.517,98.049,75.968,85.797,102.609,114.066,168.734,380.222,728.22,842.349,379.234,237.503,182.966,202.138,144.748,108.73,92.513,80.435,111.177,254.134,898.217,561.014,413.483,283.396,178.028,121.312,91.9
187.383,99.789,86.817,132.563,342.872,787.442,1202.442,672.641,353.091,208.401,140.662,302.464,164.862,133.29,174.971,133.791,362.38,876.091,938.168,784.88,463.362,202.517,98.049,75.968,85.797,102.609,114.226,168.734,380.222,728.22,842.349,379.234,237.503,182.966,202.138,144.748,108.73,92.513,80.435,111.177,254.134,898.217,561.014,413.483,283.396,178.028,121.312,91.9,91.775,103.263,108.325,148.425,500.266,825.75,864.773,673.26,378.904,251.475,151.792,118.734
189.7,118.164,89.45,113.403,412.993,804.977,1022.57,940.982,405.566,227.276,98.049,75.968,85.797,102.609,114.066,168.734,380.222,728.22,842.349,379.234,237.503,182.966,202.138,144.748,108.73,92.513,80.318,111.177,254.134,898.217,561.014,413.483,283.396,178.028,121.312,91.9,91.775,103.263,108.325,148.425,500.266,825.75,864.773,673.26,378.904,251.475,151.792,118.734,129.501,100.501,93.357,137.038,228.528,699.334,904.271,451.146,353.319,213.178,289.96,255.587
187.383,97.578,152.131,94.24,325.6,826.721,932.901,837.902,368.685,214.891,202.138,144.748,108.73,92.513,80.435,111.177,254.134,898.217,561.014,413.483,283.396,178.028,121.312,91.9,91.775,103.263,108.489,148.425,500.266,825.75,864.773,673.26,378.904,251.475,151.792,118.734,129.501,100.501,93.357,137.038,228.528,699.334,904.271,451.146,353.319,213.178,289.96,255.587,262.781,183.326,188.585,172.478,406.217,694.124,1153.135,877.736,388.841,287.89,267.468,191.25
187.499,118.282,136.69,146.687,343.734,820.237,1084.18,525.209,261.77,207.119,121.312,91.9,91.775,103.263,108.325,148.425,500.266,825.75,864.773,673.26,378.904,251.475,151.792,118.734,129.501,100.501,93.683,137.038,228.528,699.334,904.271,451.146,353.319,213.178,289.96,255.587,262.781,183.326,188.585,172.478,406.217,694.124,1153.135,877.736,388.841,287.89,267.468,191.25,148.383,126.941,124.839,155.925,273.15,985.566,1235.933,929.352,396.413,311.715,377.267,211.714
188.191,87.135,81.064,130.703,410.506,1007.021,887.38,530.025,309.407,195.325,151.792,118.734,129.501,100.501,93.357,137.038,228.528,699.334,904.271,451.146,353.319,213.178,289.96,255.587,262.781,183.326,186.289,172.478,406.217,694.124,1153.135,877.736,388.841,287.89,267.468,191.25,148.383,126.941,124.839,155.925,273.15,985.566,1235.933,929.352,396.413,311.715,377.267,211.714,152.254,136.992,151.339,202.696,330.701,977.161,627.643,409.051,230.571,161.211,101.787,96.176
