DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,
165982.028,131888.5447,45581.62796,35389.82853,27890.96122,23739.14517,77010.77916,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76518.63237,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,37228.72455,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,61571.30172,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,62698.87856,38049.34677,39872.95169,49441.21415,105726.6101,174593.4642,201295.9674,201295.9674,193582.4584,188488.2577,39872.95169
165982.028,131888.5447,76518.63237,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,37087.14032,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,61712.88596,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,62698.87856,38049.34677,39872.95169,49441.21415,105726.6101,174593.4642,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,79331.06157,38049.34677,39872.95169,49441.21415,105726.6101,174506.2483,201295.9674,201295.9674,193582.4584,188488.2577,4835.384727
165982.028,131888.5447,37087.14032,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,61571.30172,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,62840.46279,38049.34677,39872.95169,49441.21415,105726.6101,174593.4642,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,79331.06157,38049.34677,39872.95169,49441.21415,105726.6101,174506.2483,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58159.12171,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,0
165982.028,131888.5447,61571.30172,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,62698.87856,38049.34677,39872.95169,49441.21415,105726.6101,174593.4642,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,79462.73491,38049.34677,39872.95169,49441.21415,105726.6101,174506.2483,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58159.12171,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43895.64291,24218.83255,18766.70691,45470.90909,89925.52655,169241.297,201295.9674,201295.9674,193582.4584,188488.2577,18766.70691
165982.028,131888.5447,62698.87856,38049.34677,39872.95169,49441.21415,105726.6101,174593.4642,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,79331.06157,38049.34677,39872.95169,49441.21415,105726.6101,174506.2483,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58300.70594,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43895.64291,24218.83255,18766.70691,45470.90909,89925.52655,169241.297,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,6060.088339,2839.047039,16138.05404,84329.55133,143313.2596,201295.9674,201295.9674,193582.4584,188488.2577,23573.20845
165982.028,131888.5447,79331.06157,38049.34677,39872.95169,49441.21415,105726.6101,174506.2483,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58159.12171,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43980.59345,24476.79903,19024.67338,45728.87556,90183.49303,169498.9803,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,6060.088339,2839.047039,16138.05404,84329.55133,143313.2596,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58701.67249,29077.43709,39872.95169,49441.21415,105726.6101,174662.8405,201295.9674,201295.9674,193582.4584,188488.2577,35407.10181
165982.028,131888.5447,58159.12171,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43895.64291,24218.83255,18766.70691,45470.90909,89925.52655,169241.297,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,6416.031101,3195.272969,16494.27997,84685.77726,143669.4855,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58701.67249,29077.43709,39872.95169,49441.21415,105726.6101,174662.8405,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76832.6662,38049.34677,39872.95169,49441.21415,105726.6101,173082.7604,201295.9674,201295.9674,193582.4584,188488.2577,5173.204702
165982.028,131888.5447,43895.64291,22776.08922,17268.17939,39374.00885,95691.96919,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,6060.088339,2839.047039,16138.05404,84329.55133,143313.2596,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58843.25672,29355.22536,39872.95169,49441.21415,105726.6101,174662.8405,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76832.6662,38049.34677,39872.95169,49441.21415,105726.6101,173082.7604,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,66596.40932,38049.34677,39872.95169,49441.21415,105726.6101,173281.5447,201295.9674,201295.9674,193582.4584,188488.2577,25783.33833
165982.028,131888.5447,17086.38523,3828.437659,1.41584233,13690.06265,76299.17681,144360.4166,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,58701.67249,29077.43709,39872.95169,49441.21415,105726.6101,174662.8405,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76974.25043,38049.34677,39872.95169,49441.21415,105726.6101,173082.7604,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,66596.40932,38049.34677,39872.95169,49441.21415,105726.6101,173281.5447,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,41726.85563,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,10524.80554
165982.028,131888.5447,58701.67249,33378.48292,39872.95169,49441.21415,105726.6101,174662.8405,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76832.6662,38049.34677,39872.95169,49441.21415,105726.6101,173082.7604,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,66737.99355,38049.34677,39872.95169,49441.21415,105726.6101,173521.9547,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,41726.85563,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,23279.27958,10314.69454,13418.78726,34621.59249,68755.00254,148964.4527,201295.9674,201295.9674,193582.4584,188488.2577,22018.61357
